outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,176.026,-0.000131553,25.0374,74.7698,3.38612e-05,0.000678598,-0.00668748
0,1,177.026,-9.69746e-05,25.038,74.763,3.52848e-05,0.000677252,-0.00677722
0,1,178.026,-6.09661e-05,25.0387,74.7562,3.67213e-05,0.000675993,-0.00686667
0,1,179.026,-2.3514e-05,25.0394,74.7493,3.81717e-05,0.000674836,-0.00695583
0,1,180.026,1.53962e-05,25.0401,74.7423,3.96371e-05,0.000673796,-0.00704468,phase3_terminal
0,1,180.026,2.57689e-07,49.992,24.9935,5.31199e-05,-0.00418645,-0.00348233,phase4_init
0,1,181.026,4.90941e-05,49.9878,24.99,4.45351e-05,-0.00419675,-0.00351978
0,1,182.026,8.93823e-05,49.9836,24.9865,3.6047e-05,-0.00414878,-0.00350885
0,1,183.027,0.000121327,49.9795,24.983,2.78684e-05,-0.0040525,-0.00345782
0,1,184.027,0.000145322,49.9755,24.9796,2.0163e-05,-0.00391696,-0.00337422
0,1,185.027,0.000161902,49.9717,24.9762,1.30518e-05,-0.00375027,-0.00326477
0,1,186.027,0.000171704,49.968,24.973,6.61824e-06,-0.00355967,-0.00313549
0,1,187.027,0.000175433,49.9646,24.97,9.14026e-07,-0.00335156,-0.00299171
0,1,188.027,0.000173831,49.9614,24.9671,-4.03628e-06,-0.00313156,-0.00283807
0,1,189.027,0.000167656,49.9583,24.9643,-8.23057e-06,-0.00290454,-0.00267864
0,1,190.028,0.000157655,49.9555,24.9617,-1.16851e-05,-0.00267469,-0.00251688
0,1,191.028,0.000144554,49.953,24.9593,-1.44306e-05,-0.00244557,-0.00235575
0,1,192.028,0.000129041,49.9506,24.957,-1.65092e-05,-0.00222016,-0.00219773
0,1,193.028,0.000111759,49.9485,24.9549,-1.79711e-05,-0.0020009,-0.00204485
0,1,194.028,9.32963e-05,49.9466,24.9529,-1.88724e-05,-0.00178978,-0.00189874
0,1,195.028,7.41847e-05,49.945,24.9511,-1.92725e-05,-0.00158835,-0.00176069
0,1,196.028,5.48949e-05,49.9435,24.9494,-1.92325e-05,-0.00139777,-0.00163168
0,1,197.029,3.58369e-05,49.9422,24.9478,-1.88134e-05,-0.00121888,-0.00151238
0,1,198.029,1.736e-05,49.941,24.9463,-1.80748e-05,-0.00105223,-0.00140326
0,1,199.029,-2.44915e-07,49.94,24.945,-1.70742e-05,-0.000898109,-0.00130456
0,1,200.029,-1.67428e-05,49.9392,24.9437,-1.58656e-05,-0.000756592,-0.00121632
0,1,201.029,-3.19508e-05,49.9385,24.9425,-1.44995e-05,-0.000627574,-0.00113847
0,1,202.029,-4.57346e-05,49.938,24.9414,-1.30219e-05,-0.000510796,-0.00107079
0,1,203.029,-5.80037e-05,49.9375,24.9404,-1.14746e-05,-0.000405875,-0.00101295
